0;1;2;3;4;5;6;7;8;9;10
28.3;21.7;31.6;160.0;1.0;329.2;0.0;4.2;0.0;1.0;0.0
28.7;36.2;22.8;917.0;1.8;93.5;0.0;11.7;1.0;0.0;0.0
28.9;35.9;22.9;911.0;1.6;80.5;0.0;11.5;1.0;0.0;0.0
29.7;36.3;21.3;907.0;1.7;113.8;0.0;10.7;1.0;0.0;0.0
30.3;36.4;18.8;901.0;1.5;111.2;0.0;9.0;1.0;0.0;0.0
30.5;36.5;17.6;894.0;1.7;90.1;0.0;8.0;1.0;0.0;0.0
30.8;36.9;16.0;883.0;1.3;104.2;0.0;6.9;1.0;0.0;0.0
30.9;37.1;15.8;870.0;1.3;93.2;0.0;7.0;0.0;1.0;0.0
29.6;30.6;32.7;704.7;1.6;123.9;0.0;12.4;0.0;1.0;0.0
29.5;30.1;33.2;682.1;2.3;112.2;0.0;12.2;0.0;1.0;0.0
29.5;29.7;34.0;656.3;2.1;118.0;0.0;12.2;0.0;1.0;0.0
29.6;29.4;35.7;628.5;2.4;104.9;0.0;12.6;0.0;1.0;0.0
29.6;29.0;36.2;600.5;2.2;155.1;0.0;12.5;0.0;1.0;0.0
29.7;28.8;36.5;570.3;2.1;133.3;0.0;12.5;0.0;1.0;0.0
29.8;29.0;36.0;536.0;2.4;115.5;0.0;12.4;0.0;1.0;0.0
28.7;34.0;17.2;943.0;1.4;62.8;0.0;5.7;1.0;0.0;0.0
29.2;33.9;17.2;955.0;1.1;22.5;0.0;5.6;1.0;0.0;0.0
29.1;34.2;16.9;963.0;1.4;54.0;0.0;5.6;1.0;0.0;0.0
28.9;34.6;16.1;967.0;1.2;359.6;0.0;5.3;1.0;0.0;0.0
29.3;34.3;16.0;968.0;1.3;96.5;0.0;4.9;1.0;0.0;0.0
29.8;35.0;15.7;969.0;1.9;24.3;0.0;5.1;1.0;0.0;0.0
30.3;35.1;14.7;967.0;0.9;283.2;0.0;4.3;1.0;0.0;0.0
29.6;32.0;38.5;761.7;1.7;98.0;0.0;16.1;1.0;0.0;0.0
29.7;31.4;40.3;242.7;1.5;98.0;0.0;16.3;1.0;0.0;0.0
29.6;31.6;40.3;679.0;1.6;96.3;0.0;16.5;1.0;0.0;0.0
29.7;32.4;38.3;838.0;1.4;116.2;0.0;16.4;1.0;0.0;0.0
29.4;32.6;35.6;832.0;1.4;211.0;0.0;15.4;1.0;0.0;0.0
29.7;32.9;34.5;853.0;1.1;160.9;0.0;15.2;0.0;1.0;0.0
29.8;33.4;34.5;859.0;1.3;65.6;0.0;15.6;0.0;1.0;0.0
27.4;14.4;83.8;24.3;0.1;57.4;0.0;11.7;0.0;1.0;0.0
27.0;14.4;84.1;18.0;0.5;35.6;0.0;11.7;0.0;1.0;0.0
26.3;14.3;84.2;24.7;0.6;69.8;0.0;11.7;0.0;1.0;0.0
26.2;14.2;84.2;26.4;0.7;42.7;0.0;11.6;0.0;1.0;0.0
26.2;14.1;84.2;21.0;0.6;59.6;0.0;11.4;0.0;1.0;0.0
26.2;13.9;84.4;12.0;0.2;129.6;0.0;11.3;0.0;1.0;0.0
26.0;13.7;84.8;4.1;0.0;0.0;0.0;11.2;0.0;1.0;0.0
27.5;17.6;85.7;202.3;0.6;189.2;0.0;15.2;1.0;0.0;0.0
27.1;18.1;84.1;203.5;0.4;183.2;0.0;15.4;1.0;0.0;0.0
27.1;18.5;82.9;219.0;0.7;186.7;0.0;15.5;1.0;0.0;0.0
25.3;19.2;81.9;451.0;0.3;217.9;0.0;16.0;1.0;0.0;0.0
25.3;19.8;77.9;507.0;0.6;256.5;0.0;15.9;1.0;0.0;0.0
26.0;20.2;74.2;386.7;0.5;311.1;0.0;15.4;1.0;0.0;0.0
27.1;20.1;73.0;204.4;1.0;280.4;0.0;15.1;1.0;0.0;0.0
29.8;32.6;27.6;345.6;1.7;94.4;0.0;11.5;0.0;1.0;0.0
30.5;32.6;27.7;626.2;1.6;93.6;0.0;11.6;0.0;1.0;0.0
30.3;33.1;27.3;787.1;1.6;98.1;0.0;11.8;0.0;1.0;0.0
30.7;33.3;27.2;687.3;1.5;71.4;0.0;11.9;0.0;1.0;0.0
30.7;33.1;28.1;666.0;1.9;64.7;0.0;12.2;0.0;1.0;0.0
30.7;33.0;28.1;611.2;1.8;69.0;0.0;12.1;0.0;1.0;0.0
31.2;32.9;28.6;564.6;2.3;61.2;0.0;12.3;0.0;1.0;0.0
27.4;28.7;50.9;920.0;1.6;166.2;0.0;17.5;1.0;0.0;0.0
27.6;29.5;48.8;962.0;1.1;207.0;0.0;17.6;1.0;0.0;0.0
27.6;29.8;47.0;929.0;1.2;173.1;0.0;17.3;1.0;0.0;0.0
27.8;29.6;48.1;867.0;1.0;145.6;0.0;17.5;1.0;0.0;0.0
28.0;29.9;47.3;846.0;1.3;145.8;0.0;17.4;1.0;0.0;0.0
28.0;30.2;46.4;849.0;1.2;169.4;0.0;17.5;1.0;0.0;0.0
27.8;30.1;46.5;833.0;1.3;163.5;0.0;17.4;1.0;0.0;0.0
22.5;7.9;84.0;42.0;0.4;111.7;0.2;5.4;0.0;1.0;0.0
25.0;8.1;84.4;47.1;0.7;94.3;0.4;5.6;0.0;1.0;0.0
22.0;7.9;83.4;43.1;1.2;42.2;0.5;5.2;0.0;1.0;0.0
18.7;7.9;83.5;41.5;0.7;58.3;0.6;5.2;0.0;1.0;0.0
18.4;7.8;83.8;40.2;0.1;48.4;0.4;5.2;0.0;1.0;0.0
18.6;7.9;84.6;38.8;0.4;147.7;0.3;5.4;0.0;1.0;0.0
18.3;8.0;85.5;39.6;0.3;170.5;0.3;5.7;0.0;1.0;0.0
27.6;12.6;81.3;189.3;1.2;19.3;0.2;9.5;1.0;0.0;0.0
27.6;12.5;81.0;130.8;1.2;24.6;0.1;9.4;1.0;0.0;0.0
27.6;12.5;81.2;204.3;1.2;28.2;0.2;9.4;1.0;0.0;0.0
27.5;12.7;80.9;224.5;1.4;19.8;0.0;9.5;1.0;0.0;0.0
27.5;12.8;80.9;178.4;1.3;22.8;0.1;9.6;1.0;0.0;0.0
27.5;12.8;80.8;163.4;1.1;31.8;0.0;9.6;1.0;0.0;0.0
27.5;12.8;81.0;185.1;1.6;24.6;0.1;9.7;1.0;0.0;0.0
28.1;30.2;34.0;356.7;2.6;174.4;0.0;12.6;0.0;1.0;0.0
28.1;30.0;33.6;306.8;2.7;178.7;0.0;12.3;0.0;1.0;0.0
29.3;30.3;33.6;373.5;2.5;163.8;0.0;12.5;0.0;1.0;0.0
29.7;30.2;33.5;352.3;2.4;155.7;0.0;12.4;0.0;1.0;0.0
30.1;30.0;34.0;213.5;2.3;168.1;0.0;12.5;0.0;1.0;0.0
30.3;29.6;34.3;135.3;2.2;177.2;0.0;12.2;0.0;1.0;0.0
30.4;29.2;38.2;73.5;1.8;165.7;0.0;13.4;0.0;1.0;0.0
29.2;29.5;38.1;861.0;2.4;68.2;0.0;13.8;1.0;0.0;0.0
29.1;29.7;37.4;846.0;3.1;56.8;0.0;13.7;0.0;1.0;0.0
29.0;29.9;37.6;830.0;2.6;55.9;0.0;13.9;0.0;1.0;0.0
29.1;29.9;36.4;814.0;2.3;65.4;0.0;13.5;0.0;1.0;0.0
29.4;29.9;37.3;794.8;2.5;60.3;0.0;13.7;0.0;1.0;0.0
29.6;29.7;38.1;777.2;3.0;59.7;0.0;13.9;0.0;1.0;0.0
29.8;29.6;38.7;753.3;3.0;52.4;0.0;14.1;0.0;1.0;0.0
25.9;18.4;30.6;634.8;2.0;322.8;0.0;0.8;1.0;0.0;0.0
25.6;18.4;30.7;626.9;1.7;338.8;0.0;0.8;1.0;0.0;0.0
26.0;18.4;30.5;617.3;2.1;337.6;0.0;0.8;1.0;0.0;0.0
26.3;18.7;28.9;607.7;2.1;308.4;0.0;0.2;1.0;0.0;0.0
26.4;19.0;28.4;595.4;2.1;340.8;0.0;0.3;1.0;0.0;0.0
26.6;18.9;28.2;599.5;2.5;350.9;0.0;0.0;1.0;0.0;0.0
26.6;19.0;27.4;601.6;2.2;355.8;0.0;-0.2;1.0;0.0;0.0
29.0;27.5;34.6;941.0;2.5;61.4;0.0;10.6;1.0;0.0;0.0
29.2;27.5;35.1;953.0;2.6;61.6;0.0;10.8;1.0;0.0;0.0
29.3;27.6;34.8;962.0;2.5;52.4;0.0;10.7;1.0;0.0;0.0
29.4;27.8;36.2;968.0;2.6;56.6;0.0;11.5;1.0;0.0;0.0
